name,transaction_type,amount,balance,time_of_transaction,dynamic_balance,,username
Sanjay Chopra,outgoing,330.55,3624.87,01-01-2025 06:56,3294.32,,sanjay.chopra
Amit Nair,outgoing,249.88,8292.31,01-01-2025 06:57,8042.43,,amit.nair
Priya Singh,outgoing,130.61,2132.43,01-01-2025 06:59,2001.82,,priya.singh
Rajesh Patel,outgoing,434.7,9122.28,01-01-2025 07:21,8687.58,,rajesh.patel
Rajesh Verma,incoming,968.84,6967.01,01-01-2025 07:30,7935.85,,rajesh.verma
Kavita Gupta,outgoing,829.21,6469.88,01-01-2025 07:31,5640.67,,kavita.gupta
Kavita Verma,outgoing,985.95,1735.9,01-01-2025 07:35,749.95,,kavita.verma
Rajesh Chopra,incoming,687.1,6230.89,01-01-2025 07:57,6917.99,,rajesh.chopra
Sanjay Singh,outgoing,185.86,6806.31,01-01-2025 07:57,6620.45,,sanjay.singh
Rahul Sharma,incoming,820.72,9420.97,01-01-2025 08:11,10241.69,,rahul.sharma
Sunita Sharma,incoming,301.93,2658.41,01-01-2025 08:17,2960.34,,sunita.sharma
Anjali Iyer,outgoing,740.63,9390.96,01-01-2025 08:34,8650.33,,anjali.iyer
Amit Mehta,incoming,759.4,6014.79,01-01-2025 08:37,6774.19,,amit.mehta
Kavita Patel,outgoing,414.87,7458.82,01-01-2025 08:38,7043.95,,kavita.patel
Sunita Reddy,outgoing,511.49,4170.52,01-01-2025 08:43,3659.03,,sunita.reddy
Anjali Reddy,incoming,808.18,7398.48,01-01-2025 08:55,8206.66,,anjali.reddy
Amit Patel,incoming,669.02,3952.63,01-01-2025 08:57,4621.65,,amit.patel
Priya Sharma,outgoing,209.71,5773.97,01-01-2025 09:06,5564.26,,priya.sharma
Sanjay Singh,outgoing,653.08,5736.9,01-01-2025 09:09,5083.82,,sanjay.singh
Rohit Verma,outgoing,751.57,6220.04,01-01-2025 09:13,5468.47,,rohit.verma
Sunita Verma,incoming,634.61,5425.97,01-01-2025 09:19,6060.58,,sunita.verma
Kavita Nair,outgoing,490.23,8638.99,01-01-2025 09:25,8148.76,,kavita.nair
Rahul Nair,outgoing,939.29,9462.06,01-01-2025 09:29,8522.77,,rahul.nair
Sunita Reddy,incoming,414.43,3577.23,01-01-2025 09:36,3991.66,,sunita.reddy
Amit Patel,incoming,994.77,2684.09,01-01-2025 09:40,3678.86,,amit.patel
Priya Mehta,incoming,930.69,9098.47,01-01-2025 09:41,10029.16,,priya.mehta
Anjali Sharma,outgoing,138.89,6248.24,01-01-2025 09:42,6109.35,,anjali.sharma
Sanjay Mehta,outgoing,517.35,4978.86,01-01-2025 09:43,4461.51,,sanjay.mehta
Rajesh Sharma,outgoing,829.16,5055.62,01-01-2025 09:51,4226.46,,rajesh.sharma
Amit Nair,incoming,185.05,1574.34,01-01-2025 10:06,1759.39,,amit.nair
Deepak Patel,outgoing,798.14,1328.52,01-01-2025 10:19,530.38,,deepak.patel
Rahul Mehta,outgoing,902.71,2441.55,01-01-2025 10:20,1538.84,,rahul.mehta
Anjali Singh,incoming,630.73,6559.26,01-01-2025 10:21,7189.99,,anjali.singh
Rohit Singh,outgoing,341.75,5471.16,01-01-2025 10:22,5129.41,,rohit.singh
Kavita Iyer,incoming,531.94,8684.46,01-01-2025 10:23,9216.4,,kavita.iyer
Priya Iyer,outgoing,152.2,9402.66,01-01-2025 10:25,9250.46,,priya.iyer
Sunita Iyer,outgoing,246.8,4176.65,01-01-2025 10:27,3929.85,,sunita.iyer
Kavita Singh,outgoing,638.55,9668.23,01-01-2025 10:43,9029.68,,kavita.singh
Rahul Verma,incoming,419.21,7987.76,01-01-2025 10:44,8406.97,,rahul.verma
Sanjay Mehta,outgoing,385.89,1678.42,01-01-2025 10:46,1292.53,,sanjay.mehta
Rajesh Nair,incoming,259.1,2777.79,01-01-2025 10:51,3036.89,,rajesh.nair
Priya Singh,incoming,293.6,4177.74,01-01-2025 10:52,4471.34,,priya.singh
Anjali Mehta,outgoing,845.51,4485.24,01-01-2025 10:57,3639.73,,anjali.mehta
Rahul Reddy,outgoing,861.15,8729.17,01-01-2025 11:16,7868.02,,rahul.reddy
Rahul Mehta,incoming,371.95,9292.6,01-01-2025 11:21,9664.55,,rahul.mehta
Priya Verma,outgoing,245.99,6946.94,01-01-2025 11:22,6700.95,,priya.verma
Kavita Singh,incoming,936.48,4641.26,01-01-2025 11:25,5577.74,,kavita.singh
Priya Mehta,outgoing,824.48,1379.81,01-01-2025 11:25,555.33,,priya.mehta
Anjali Singh,outgoing,551.91,1054.52,01-01-2025 11:45,502.61,,anjali.singh
Rohit Iyer,outgoing,905.36,5828.23,01-01-2025 11:47,4922.87,,rohit.iyer
Rohit Verma,outgoing,922.23,2577.7,01-01-2025 11:50,1655.47,,rohit.verma
Sunita Singh,incoming,931.38,1085.27,01-01-2025 12:14,2016.65,,sunita.singh
Rahul Verma,outgoing,393.5,4114.81,01-01-2025 12:32,3721.31,,rahul.verma
Deepak Patel,incoming,715.87,4049.49,01-01-2025 12:35,4765.36,,deepak.patel
Rahul Iyer,outgoing,832.04,9629.46,01-01-2025 12:49,8797.42,,rahul.iyer
Rajesh Gupta,outgoing,325.1,6489.36,01-01-2025 12:58,6164.26,,rajesh.gupta
Anjali Nair,incoming,311.42,6885.06,01-01-2025 13:00,7196.48,,anjali.nair
Amit Reddy,incoming,778.01,1662.93,01-01-2025 13:07,2440.94,,amit.reddy
Rohit Reddy,incoming,135.54,2605.79,01-01-2025 13:08,2741.33,,rohit.reddy
Rohit Reddy,outgoing,658.71,2605.79,01-01-2025 13:23,1947.08,,rohit.reddy
Rajesh Nair,outgoing,217.04,3663.58,01-01-2025 13:36,3446.54,,rajesh.nair
Anjali Chopra,outgoing,296.41,8411.15,01-01-2025 13:41,8114.74,,anjali.chopra
Anjali Singh,incoming,957.37,6998.03,01-01-2025 13:41,7955.4,,anjali.singh
Rajesh Mehta,outgoing,961.01,3076.84,01-01-2025 13:43,2115.83,,rajesh.mehta
Sanjay Sharma,incoming,980.01,2714.45,01-01-2025 13:44,3694.46,,sanjay.sharma
Amit Reddy,outgoing,510.7,5350.87,01-01-2025 13:46,4840.17,,amit.reddy
Sanjay Iyer,outgoing,990.93,4759.96,01-01-2025 13:51,3769.03,,sanjay.iyer
Amit Nair,outgoing,326.1,1498.72,01-01-2025 14:09,1172.62,,amit.nair
Sunita Verma,outgoing,163.97,2528,01-01-2025 14:14,2364.03,,sunita.verma
Anjali Singh,outgoing,960.14,4873.47,01-01-2025 14:17,3913.33,,anjali.singh
Deepak Nair,outgoing,176.05,7641.05,01-01-2025 14:19,7465,,deepak.nair
Sanjay Iyer,incoming,391.44,2041.97,01-01-2025 14:29,2433.41,,sanjay.iyer
Sunita Sharma,outgoing,550.22,5600.03,01-01-2025 14:41,5049.81,,sunita.sharma
Rohit Singh,outgoing,189.06,9714.23,01-01-2025 14:49,9525.17,,rohit.singh
Kavita Singh,incoming,319.52,6887.35,01-01-2025 14:50,7206.87,,kavita.singh
Priya Patel,outgoing,354.89,6486.08,01-01-2025 14:57,6131.19,,priya.patel
Priya Patel,outgoing,436.6,6486.08,01-01-2025 14:58,6049.48,,priya.patel
Sunita Reddy,outgoing,571.49,9145.71,01-01-2025 15:08,8574.22,,sunita.reddy
Amit Nair,incoming,979.72,9210.85,01-01-2025 15:13,10190.57,,amit.nair
Anjali Reddy,outgoing,344.14,6258.51,01-01-2025 15:22,5914.37,,anjali.reddy
Kavita Verma,outgoing,522.21,4965.42,01-01-2025 15:26,4443.21,,kavita.verma
Sanjay Verma,outgoing,167.17,4694.44,01-01-2025 15:33,4527.27,,sanjay.verma
Rohit Verma,outgoing,529.93,8360.74,01-01-2025 15:34,7830.81,,rohit.verma
Rajesh Patel,outgoing,379.03,4659.74,01-01-2025 15:46,4280.71,,rajesh.patel
Anjali Singh,outgoing,362.86,9023.44,01-01-2025 15:56,8660.58,,anjali.singh
Kavita Nair,incoming,845.68,9572.68,01-01-2025 15:59,10418.36,,kavita.nair
Kavita Sharma,incoming,387.46,2249.85,01-01-2025 15:59,2637.31,,kavita.sharma
Rajesh Singh,incoming,504.67,6383.12,01-01-2025 16:07,6887.79,,rajesh.singh
Priya Singh,incoming,796.37,1711.46,01-01-2025 16:18,2507.83,,priya.singh
Amit Gupta,incoming,949.54,6048.24,01-01-2025 16:24,6997.78,,amit.gupta
Priya Sharma,outgoing,605.96,9271.12,01-01-2025 16:25,8665.16,,priya.sharma
Priya Singh,outgoing,363.56,2132.43,01-01-2025 16:39,1768.87,,priya.singh
Deepak Reddy,outgoing,664.49,8490.11,01-01-2025 16:41,7825.62,,deepak.reddy
Rohit Verma,incoming,663.81,4971,01-01-2025 16:43,5634.81,,rohit.verma
Rahul Sharma,outgoing,754.79,7406.79,01-01-2025 16:48,6652,,rahul.sharma
Sanjay Nair,outgoing,496.44,5581.01,01-01-2025 16:55,5084.57,,sanjay.nair
Priya Singh,outgoing,209.34,6441.56,01-01-2025 17:03,6232.22,,priya.singh
Kavita Chopra,outgoing,478.21,8463.83,01-01-2025 17:11,7985.62,,kavita.chopra
Amit Patel,outgoing,988.37,6920.29,01-01-2025 17:28,5931.92,,amit.patel
Sanjay Reddy,incoming,256.81,7416.39,01-01-2025 17:30,7673.2,,sanjay.reddy
Kavita Chopra,incoming,394.65,3477.92,01-01-2025 17:31,3872.57,,kavita.chopra
Priya Singh,outgoing,698.39,4177.74,01-01-2025 17:31,3479.35,,priya.singh
Deepak Singh,incoming,325.24,1387.23,01-01-2025 17:34,1712.47,,deepak.singh
Sanjay Reddy,outgoing,767.35,7296.65,01-01-2025 17:41,6529.3,,sanjay.reddy
Kavita Gupta,incoming,809.84,4472.55,01-01-2025 17:44,5282.39,,kavita.gupta
Rahul Mehta,outgoing,124.39,5723.18,01-01-2025 17:45,5598.79,,rahul.mehta
Anjali Mehta,outgoing,409.28,3376.81,01-01-2025 17:47,2967.53,,anjali.mehta
Rahul Singh,outgoing,446.11,6485.82,01-01-2025 17:49,6039.71,,rahul.singh
Sanjay Sharma,incoming,329.32,3011.12,01-01-2025 17:57,3340.44,,sanjay.sharma
Priya Verma,outgoing,176.69,9944.11,01-01-2025 18:06,9767.42,,priya.verma
Amit Iyer,incoming,141.82,2790.92,01-01-2025 18:08,2932.74,,amit.iyer
Sunita Mehta,outgoing,736.83,9887.54,01-01-2025 18:20,9150.71,,sunita.mehta
Rahul Verma,outgoing,743.24,3580.12,01-01-2025 18:21,2836.88,,rahul.verma
Rohit Singh,outgoing,293.34,9133.16,01-01-2025 18:27,8839.82,,rohit.singh
Sunita Singh,outgoing,884.01,5065.83,01-01-2025 18:27,4181.82,,sunita.singh
Kavita Chopra,outgoing,543.83,3477.92,01-01-2025 18:31,2934.09,,kavita.chopra
Rahul Reddy,incoming,267.52,9258.07,01-01-2025 18:36,9525.59,,rahul.reddy
Priya Chopra,incoming,445.52,3086.47,01-01-2025 18:48,3531.99,,priya.chopra
Sanjay Chopra,outgoing,503.2,6038.16,01-01-2025 18:57,5534.96,,sanjay.chopra
Rajesh Gupta,outgoing,927.69,7256.44,01-01-2025 19:00,6328.75,,rajesh.gupta
Sunita Nair,incoming,475.99,9041.05,01-01-2025 19:13,9517.04,,sunita.nair
Kavita Patel,outgoing,572.83,8829.76,01-01-2025 19:19,8256.93,,kavita.patel
Priya Nair,incoming,234.43,4551.78,01-01-2025 19:21,4786.21,,priya.nair
Sanjay Patel,incoming,941.7,7168.3,01-01-2025 19:23,8110,,sanjay.patel
Rajesh Nair,incoming,942.14,3888.07,01-01-2025 19:29,4830.21,,rajesh.nair
Anjali Reddy,incoming,207.61,9528.64,01-01-2025 19:33,9736.25,,anjali.reddy
Rohit Singh,incoming,972.36,1244.56,01-01-2025 19:35,2216.92,,rohit.singh
Anjali Patel,outgoing,573.92,5658.37,01-01-2025 19:39,5084.45,,anjali.patel
Deepak Mehta,outgoing,820.68,2094.91,01-01-2025 19:43,1274.23,,deepak.mehta
Priya Nair,outgoing,138.89,6735.64,01-01-2025 19:48,6596.75,,priya.nair
Sunita Mehta,incoming,145.63,5862.35,01-01-2025 19:54,6007.98,,sunita.mehta
Rajesh Mehta,incoming,140.66,1995.25,01-01-2025 20:00,2135.91,,rajesh.mehta
Deepak Reddy,outgoing,710.17,2412.35,01-01-2025 20:02,1702.18,,deepak.reddy
Anjali Gupta,outgoing,240.71,2052.82,01-01-2025 20:18,1812.11,,anjali.gupta
Amit Iyer,incoming,888.4,9906.53,01-01-2025 20:22,10794.93,,amit.iyer
Rahul Nair,incoming,612.28,2437.21,01-01-2025 20:26,3049.49,,rahul.nair
Rajesh Gupta,outgoing,316.53,8391.01,01-01-2025 20:32,8074.48,,rajesh.gupta
Rohit Gupta,outgoing,173.56,1827.8,01-01-2025 20:46,1654.24,,rohit.gupta
Priya Iyer,outgoing,586.69,8115.17,01-01-2025 20:49,7528.48,,priya.iyer
Priya Iyer,incoming,823.97,6429.51,01-01-2025 20:49,7253.48,,priya.iyer
Deepak Iyer,incoming,302.91,7915.21,01-01-2025 20:54,8218.12,,deepak.iyer
Deepak Iyer,outgoing,893.42,1838.47,01-01-2025 21:05,945.05,,deepak.iyer
Amit Patel,incoming,253.16,6920.29,01-01-2025 21:18,7173.45,,amit.patel
Kavita Patel,incoming,620.34,1656.52,01-01-2025 21:27,2276.86,,kavita.patel
Rohit Reddy,incoming,275.65,7241.19,01-01-2025 21:29,7516.84,,rohit.reddy
Kavita Sharma,outgoing,459.95,4921.51,01-01-2025 21:42,4461.56,,kavita.sharma
Anjali Chopra,incoming,865.02,3458.12,01-01-2025 21:46,4323.14,,anjali.chopra
Rajesh Nair,outgoing,212.44,4299.5,01-01-2025 21:56,4087.06,,rajesh.nair
Kavita Patel,incoming,346.37,4467.91,01-01-2025 22:07,4814.28,,kavita.patel
Priya Reddy,outgoing,195.12,4348.31,01-01-2025 22:07,4153.19,,priya.reddy
Sanjay Nair,outgoing,957.97,4609.14,01-01-2025 22:08,3651.17,,sanjay.nair
Rajesh Sharma,incoming,775.09,2884.76,01-01-2025 22:10,3659.85,,rajesh.sharma
Sanjay Singh,outgoing,483.6,4568.83,01-01-2025 22:11,4085.23,,sanjay.singh
Rohit Nair,outgoing,335.69,2493.28,01-01-2025 22:18,2157.59,,rohit.nair
Sunita Verma,outgoing,392.72,5425.97,01-01-2025 22:36,5033.25,,sunita.verma
Rahul Iyer,outgoing,467.92,9004.61,01-01-2025 22:37,8536.69,,rahul.iyer
Sunita Iyer,incoming,165.14,6731.3,01-01-2025 22:41,6896.44,,sunita.iyer
Amit Nair,outgoing,763.87,1032.56,01-01-2025 22:51,268.69,,amit.nair
Deepak Mehta,incoming,894.28,8229.5,01-01-2025 22:59,9123.78,,deepak.mehta
Rohit Verma,outgoing,518.91,8360.74,01-01-2025 23:01,7841.83,,rohit.verma
Deepak Iyer,outgoing,883.91,1743.77,01-01-2025 23:04,859.86,,deepak.iyer
Deepak Patel,incoming,635.18,4366.33,01-01-2025 23:08,5001.51,,deepak.patel
Rohit Patel,outgoing,360.42,7671.8,01-01-2025 23:09,7311.38,,rohit.patel
Rahul Sharma,outgoing,765.99,7782.57,01-01-2025 23:14,7016.58,,rahul.sharma
Kavita Chopra,outgoing,284.7,3319.69,01-01-2025 23:17,3034.99,,kavita.chopra
Rohit Iyer,outgoing,584.39,7853.81,01-01-2025 23:28,7269.42,,rohit.iyer
Rohit Singh,outgoing,363.21,9092.56,01-01-2025 23:29,8729.35,,rohit.singh
Deepak Sharma,outgoing,316.5,7064,01-01-2025 23:36,6747.5,,deepak.sharma
Anjali Sharma,outgoing,494.46,6248.24,01-01-2025 23:37,5753.78,,anjali.sharma
Amit Sharma,incoming,550.2,5866.01,01-01-2025 23:45,6416.21,,amit.sharma
Deepak Gupta,incoming,490.12,8441.41,01-01-2025 23:45,8931.53,,deepak.gupta
Priya Verma,outgoing,872.58,6946.94,01-01-2025 23:46,6074.36,,priya.verma
Kavita Iyer,incoming,776.44,4825.75,01-01-2025 23:59,5602.19,,kavita.iyer
Sanjay Nair,incoming,111.91,2349.31,02-01-2025 00:05,2461.22,,sanjay.nair
Sunita Gupta,outgoing,140.64,5013.83,02-01-2025 00:16,4873.19,,sunita.gupta
Sanjay Nair,outgoing,774.99,3656.26,02-01-2025 00:19,2881.27,,sanjay.nair
Amit Gupta,incoming,155.81,3252.67,02-01-2025 00:32,3408.48,,amit.gupta
Rajesh Mehta,incoming,266.04,9455.41,02-01-2025 00:39,9721.45,,rajesh.mehta
Rajesh Iyer,outgoing,141.27,5539.03,02-01-2025 00:45,5397.76,,rajesh.iyer
Rohit Singh,outgoing,422.09,2864.32,02-01-2025 00:48,2442.23,,rohit.singh
Sanjay Gupta,incoming,123.79,1849.05,02-01-2025 00:53,1972.84,,sanjay.gupta
Rajesh Verma,outgoing,625.98,6058.18,02-01-2025 00:56,5432.2,,rajesh.verma
Rahul Mehta,incoming,734.72,3784.93,02-01-2025 01:03,4519.65,,rahul.mehta
Anjali Mehta,outgoing,704.39,3257.43,02-01-2025 01:05,2553.04,,anjali.mehta
Rajesh Patel,outgoing,229.25,5499.31,02-01-2025 01:05,5270.06,,rajesh.patel
Sanjay Iyer,incoming,899.71,3641.71,02-01-2025 01:21,4541.42,,sanjay.iyer
Anjali Reddy,outgoing,993.82,9201.44,02-01-2025 01:26,8207.62,,anjali.reddy
Rohit Verma,outgoing,392.36,1979.57,02-01-2025 01:30,1587.21,,rohit.verma
Sunita Gupta,incoming,790.14,1309.99,02-01-2025 01:34,2100.13,,sunita.gupta
Kavita Sharma,incoming,611.9,1340.18,02-01-2025 01:39,1952.08,,kavita.sharma
Priya Sharma,outgoing,798.33,6471.99,02-01-2025 01:39,5673.66,,priya.sharma
Deepak Verma,incoming,711.25,6960.99,02-01-2025 01:43,7672.24,,deepak.verma
Kavita Mehta,outgoing,662.22,4336.89,02-01-2025 01:54,3674.67,,kavita.mehta
Rohit Singh,incoming,914.46,8851.26,02-01-2025 01:59,9765.72,,rohit.singh
Sanjay Chopra,incoming,223.17,3079.05,02-01-2025 02:00,3302.22,,sanjay.chopra
Anjali Iyer,outgoing,481.18,9986.64,02-01-2025 02:09,9505.46,,anjali.iyer
Rohit Verma,incoming,239.46,9225.42,02-01-2025 02:11,9464.88,,rohit.verma
Priya Mehta,outgoing,859.4,9830.05,02-01-2025 02:13,8970.65,,priya.mehta
Anjali Mehta,incoming,925.16,8744.23,02-01-2025 02:20,9669.39,,anjali.mehta
Rajesh Sharma,incoming,682.81,6067.62,02-01-2025 02:21,6750.43,,rajesh.sharma
Sunita Mehta,incoming,800.39,9012.2,02-01-2025 02:21,9812.59,,sunita.mehta
Sunita Singh,outgoing,268.75,9807.7,02-01-2025 02:21,9538.95,,sunita.singh
Priya Verma,incoming,503.03,6863.34,02-01-2025 02:31,7366.37,,priya.verma
Sunita Sharma,incoming,507.97,7599.58,02-01-2025 02:39,8107.55,,sunita.sharma
Kavita Patel,incoming,427.41,8829.76,02-01-2025 02:40,9257.17,,kavita.patel
Deepak Singh,outgoing,333.35,7703.89,02-01-2025 02:47,7370.54,,deepak.singh
Sunita Sharma,incoming,632.57,6221.33,02-01-2025 02:49,6853.9,,sunita.sharma
Rohit Chopra,incoming,653.77,2972.16,02-01-2025 02:52,3625.93,,rohit.chopra
Priya Nair,outgoing,785.57,8791.12,02-01-2025 03:01,8005.55,,priya.nair
Rajesh Iyer,outgoing,516.9,5387.4,02-01-2025 03:03,4870.5,,rajesh.iyer
Sanjay Patel,incoming,217.35,1439.12,02-01-2025 03:06,1656.47,,sanjay.patel
Rajesh Singh,incoming,800.4,5929.07,02-01-2025 03:07,6729.47,,rajesh.singh
Priya Mehta,outgoing,213.64,1379.81,02-01-2025 03:11,1166.17,,priya.mehta
Sunita Patel,incoming,439.06,2512.01,02-01-2025 03:11,2951.07,,sunita.patel
Rahul Sharma,incoming,402.18,8168.67,02-01-2025 03:12,8570.85,,rahul.sharma
Anjali Sharma,outgoing,229.13,8934.31,02-01-2025 03:38,8705.18,,anjali.sharma
Sunita Sharma,outgoing,388.09,6497.44,02-01-2025 03:38,6109.35,,sunita.sharma
Rahul Singh,outgoing,148.82,2877.8,02-01-2025 03:40,2728.98,,rahul.singh
Deepak Nair,incoming,698.87,2010.02,02-01-2025 04:02,2708.89,,deepak.nair
Rajesh Sharma,incoming,726.97,2975.28,02-01-2025 04:04,3702.25,,rajesh.sharma
Deepak Sharma,incoming,355.53,9973.91,02-01-2025 04:13,10329.44,,deepak.sharma
Sunita Gupta,incoming,245.85,9467.18,02-01-2025 04:13,9713.03,,sunita.gupta
Priya Patel,incoming,152.73,2430.4,02-01-2025 04:23,2583.13,,priya.patel
Deepak Sharma,outgoing,759.22,2586,02-01-2025 04:32,1826.78,,deepak.sharma
Priya Nair,incoming,585.1,6735.64,02-01-2025 04:35,7320.74,,priya.nair
Anjali Sharma,outgoing,759.21,8566.81,02-01-2025 04:38,7807.6,,anjali.sharma
Deepak Nair,incoming,250.21,7641.05,02-01-2025 04:40,7891.26,,deepak.nair
Rajesh Nair,incoming,721.5,2777.79,02-01-2025 04:40,3499.29,,rajesh.nair
Deepak Iyer,outgoing,835.37,1446.28,02-01-2025 04:58,610.91,,deepak.iyer
Amit Nair,outgoing,441.29,1574.34,02-01-2025 05:03,1133.05,,amit.nair
Rahul Mehta,outgoing,184.32,9292.6,02-01-2025 05:03,9108.28,,rahul.mehta
